PARAGUAY	-23.442503	-58.443832	-19.2895602	-54.2430553	-27.5883342	-62.638051	
PERU	-9.189967	-75.015152	-0.038777	-68.6740781	-18.4483	-81.3867	
PHILIPPINES	12.879721	121.774017	19.932	127.771	4.2259	116.1475	
PITCAIRN	-24.703615	-127.439308	-23.7928845	-124.5410156	-25.1776022	-130.9268188	
POLAND	51.919438	19.145136	54.9054761	24.1458933	49.0020251	14.1223531	
PORTUGAL	39.399872	-8.224454	42.1542048	-6.1902091	32.2895	-31.4648	
PUERTO RICO	18.220833	-66.590149	18.568002	-65.168503	17.831509	-67.998751	
QATAR	25.354826	51.183884	26.2171	51.6769	24.471118	50.7211	
REUNION	-21.115141	55.536384	-20.8671529	55.8448792	-21.4035321	55.2097321	
ROMANIA	45.943161	24.96676	48.265274	29.7784	43.6190676	20.261466	
RUSSIAN FEDERATION	61.52401	105.318756	82.1673907	-168.97788	41.185353	19.6161	
RWANDA	-1.940278	29.873888	-1.0538892	30.8944442	-2.8266669	28.8617546	
Saint Helena, Ascension and Tristan da Cunha	38.5051866	-122.4702578	38.523055	-122.436214	38.484798	-122.495042	
SAINT KITTS AND NEVIS	17.357822	-62.782998	17.4205891	-62.5237083	17.0786101	-62.86956	
SAINT LUCIA	13.909444	-60.978893	14.1209276	-60.8597946	13.704778	-61.0812378	
SAINT PIERRE AND MIQUELON	46.941936	-56.27111	47.1425	-56.12809	46.7496	-56.40659	
SAINT VINCENT AND THE GRENADINES	12.984305	-61.287228	13.4136657	-61.084671	12.5143467	-61.4863586	
SAMOA	-13.759029	-172.104629	-13.4203448	-171.4046574	-14.0833013	-172.8108215	
SAN MARINO	43.94236	12.457777	43.9921297	12.5161577	43.8937645	12.4035885	
SAO TOME AND PRINCIPE	0.18636	6.613081	1.8961687	7.658844	-0.0988769	6.328125	
SAUDI ARABIA	23.885942	45.079162	32.154284	55.6667	16.379528	34.53	
SENEGAL	14.497401	-14.452362	16.6930544	-11.348607	12.2649	-17.688	
SERBIA	44.016521	21.005859	46.189446	23.0063915	42.231503	18.850952	
SEYCHELLES	-4.679574	55.491977	-4.0766037	56.3928223	-10.4716073	45.9832764	
SIERRA LEONE	8.460555	-11.779889	9.9999724	-10.271651	6.8446	-13.4033	
SINGAPORE	1.352083	103.819836	1.4784	104.0930565	1.2015	103.6012	
SLOVAKIA	48.669026	19.699024	49.6138051	22.5589337	47.7313888	16.833182	
SLOVENIA	46.151241	14.995463	46.8766467	16.6104836	45.42151	13.3755107	
SOLOMON ISLANDS	-9.64571	160.156194	-6.075011	168.0249023	-12.6832149	155.1187134	
SOMALIA	5.152149	46.199616	12.3615	51.6138	-1.8673	40.994373	
SOUTH AFRICA	-30.559482	22.937506	-22.1253869	33.0469	-34.967	16.2817	
SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS	-54.429579	-36.587909	-53.8525266	-25.4663086	-59.910976	-38.4301758	
SPAIN	40.463667	-3.74922	45.244	5.098	35.173	-12.524	
SRI LANKA	7.873054	80.771797	10.03377	82.1448	5.6816	79.2677	
SUDAN	12.862807	30.217636	22.2249183	38.6938	3.4889933	21.814939	
